text,label
"Kemaren awal kena covid tenggorokan sakit, skrg tenggorokan sakit jadi parno sendiri",Positif
"gw demam dari kemaren sakit kepala trus skrng tenggorokan yg sakit, mungkin ga klo gw covid lagi? ah covid bgst🖕🖕🖕🖕",Positif
"gejala mirip pas covid. demam tinggi, radang tenggorokan, sakit kepala, badan pada sakit😵‍💫",Positif
Badan panas tenggorokan sakit jujur tkt bgt covid. Covid masi ada ga si sbnrnya?,Positif
"Covid masi ada gasi? 
Ini gw sakit tenggorokan + mampet + pilek apakah covid? Nah PCR gasi",Positif
tenggorokan gue makin sakit dan rasanya bener2 kayak pas covid.........,Positif
"Rasa2 bakal kena covid lagi nih. demam, bau ban kebakar di hidung, tenggorokan sakit. Bangsad",Positif
"Awal oktober gue malah sakit tenggorokan udh gtu flu dan ga enak badan
Seharian cuma istirahat.
Semoga ga covid-19",Positif
"demam, tenggorokan sakit apa gw kena covid???",Positif
"Gue sakit tenggorokan rasanya kaya kering bgt terus sakit kepala, yaallah jangan sampe covid yaallah😭😭",Positif
"lagi sakit tenggorokan tp gajelas gt penyebabnya huhu, gue parno kena covid lagi :"")",Positif
Tenggorokan kalo udah sakit ditambah batuk ditambah lagi ga enak badan udah parno aja takut keba covid lagi :((,Positif
"Hari ke 12 postif covid. Alhamdulillah kondisi sudah membaik. Gejala anosmia, demam tinggi, sakit tenggorokan sudah hilang. Masih ada pilek dan batuk yg masih bertahan.",Positif
"😂 ini inner circle gue pada positive covid. Gue jadi kena psikosomatis. Mana badan gue lagi ga enak. Besok iseng antigen, deh.",Positif
"aku ngetik tweet ini siang disini aku jg lagi ga enak badan dan ngerasa lemes banget. terus menjelang magribh bapak meninggal. aku kadang mikir apa bapak meninggal grgr aku yah? soalnya aku ngerasa kaya lagi kena covid:"") takut aku nularin covid ke bapak tanpa disadari:((",Positif
"why aku gabisa nyium apa apa :"")",Positif
"udah beberapa hari ini ngerasa ga enak badan, pusing, suhu naik turun. cuman satu sih, semoga bukan covid 😶",Positif
"Ada acara keluarga, sakit (demam gitu/ga enak badan), ga boleh keluar krn covid",Positif
"Kira2 memungkinkan ga sih aku positif covid yang kedua kalinya? Apa aku harus test lagi?
2 hari ini setelah ngerasa ga enak badan ga ada keluar sih kecuali beli makan doang :')",Positif
"Tiba"" ga enak badan, tengorokan radang hufttt masih positif thingking si semoga bukan covid karna penciuman masih oke makan juga masih ada rasa 
Btw sakit dan jauh dari siapa"" ga enak ya, meskipun ga gimna"" tapi rasanya sedih aja hehe 😌 
Cepet membaik ya aku",Positif
Tenggorokan kalo udah sakit ditambah batuk ditambah lagi ga enak badan udah parno aja takut keba covid lagi :((,Positif
Setiap ga enak badan jadi parnoan takut covid anj.🤧,Positif
"Efek covid bener bener luar biasa di badan. Selain kalo kecapean gampang engap dada ga enak, meriang, sekarang sakit kepala🥲🥲",Positif
"kmren sempat flu ga enak badan trs dari kmrin ga bisa nyium apapun tapi kalo makan mash lanjut,ini bukan covid kan ya??",Positif
"Karna masih dalam suasana covid dan lagi ga enak badan,batuk,pilek jadi selama takziah gue pake masker. Bahkan dari awal gue dateng pake masker ga lepas samsek karna di sekitar banyak usia tua dan anak2 kecil juga",Positif
"Udah beberapa hari ini ga enak badan, trus tadi malam demam, hari ini nya badanya panas gitu, ga asik. Tapi aku ngerasa ga ada gejala menuju ke covid. Should I swab?",Positif
Punten buat yang pernah positif covid gejalanya apa aja ya?? Gue takut kena juga soalnya mulai ga enak badan dan dirumah lagi ada yg isoman,Positif
"Gw cma gabisa nyium, gabisa ngerasain makanan, sama gampang engap klo naik tangga, pangkal hidung sakit tiap bangun tidur (karna emng ada trouble di hidung)",Positif
"Mau mandi, keramas, tapi badan bener2 ga enak bgt rasanya. 2 hari ini badan lagi berasa remuk bgt dan rada demam. Langsung parno covid 😢 kayanya harus swab deh nanti",Positif
"Dulu jalan jauh biasa aja ga ada capek2nya. Skrg jalan 5 menit aja dengkul kyk mau copot, nafas ngos2an badan jadi berat. Efek covid emang ga enak bgt",Positif
"Sumpah takut banget dari kemarin gak enak badan, pusing, tulang sakit, dan barusan tiba tiba kepala sakit dan ga bisa bisa nyium bau. Apa gue kena covid ya??? 😢",Positif
"gue sering kontak erat sm sodara gue yg ternyata positif covid,dan skrg badan gue ga enak,batuk pilek ga enak deh pokoknya,sad bgt moga ga knp""...",Positif
"Gue gak bisa nyium aroma bau, hidung gue lagi pilek, gue ga enak badan juga. Apa gue kena covid apa yak 😂. Tapi kok ga langsung mati aja coba ya wkwk",Positif
"Ga enak badan lagi , masa iya covid lg anjg kapan sembuhnya😫",Positif
"Tiba2 aja ga enak badan, dari pagi cuma rebahan dan tidur. 
Semoga bukan covid.",Positif
"jadi parnoan krn covid, mana skrg lagi ga enak badan:( temen udah banyak yg positif,  lebih was was aja sih skrg.",Positif
"gejala awal covid gue kira panas dalam.
tau""nya covid anj -_-
sumpah ga enak, badan lu kek remuk tapi ga demam",Positif
gejalanya kek covid astagfirullah naudzubillah 😭😭😭 nyesel bgt kemaren keluar rumah buat cuci mobil doang padahal udah ga enak badan pulang2 ga langsung mandi malah duduk2 dlu ya abisan dada seaek bgt 😭😭 jangan kopid plisssss jangan Ya Allah 😭😭😭,Positif
"Badan ga enak banget dari kemarin. Mana dari beberapa hari lalu sering ketemu pasien positif covid pula. Ada yg cuma seliweran, ada juga yg sampe bermenit-menit. Apd jg cuma pake masker. Ya Allah.",Positif
Abis meriksa pasien gejala covid..sekarang badan gue kok ga enak ya..😭😭😭 ya allah semoga gak kenapa2.,Positif
"Jaga kesehatan temen2ku, sumpah covid ga enak. 2 minggu lebih badan gua lemes, pusing gini😭",Positif
Batuk doang aja terus diantigen lgsg positif aduh pusing pala w nih 😭,Positif
"Oh gini rasanya covid, ternyata beneran sakit guys. Badan lemes semua, panas tinggi tp kedinginan, pusing minta ampun sampe mau liat hp aja susah.",Positif
"Aq nggak boleh ngantor dlu, gara2 batuk sama tadi abis demam, disruh antigen dlu, semoga aja negatif Ya Allah, klo positif bingung yg ada, masak diperantauan harus isolasi😭 https://t.co/I5csEsAwf5",Positif
Akhirnya positif jg... Isolasi mandiri,Positif
"Belum.. soalnya saya lagi isolasi mandiri :D ya tau lah sakit apa, soalnya tahun lalu juga pernah positif jadi saya hapal gejalanya",Positif
"Gara2 tetangga ada yg positif covid omicron, trus kebetulan keluarga nya punya rumah kontrakan yg baru aja kosong di samping rumah gue persis, dia di isolasi di situ dong, trus gw emg lg batuk pilek beberapa hari ini, jd parno sendiri takut kena covid 😩",Positif
"Januari baru dua hari, kenapa udah nemu positif covid lg yaallah😫",Positif
knp abis taun baru yg dtg penyakit panas bgt badan gw. takut ny tipes. ap lg covid gni mls ke rs🤕,Positif
"Badan cuman panas semalam aja, di hari ke 4 hilang indra penciuman.  Udah kena covid tapi masih bisa masak buat orang rumah😊",Positif
"dari tadi ingusan, bersin bersin, badan panas, gejala covid kah ini?",Positif
"Panas gak juga ilang, pusing mual badan pegal-pegal. Covid lagi apa nih?",Positif
"Kayak kena covid lagi, badan pegel, panas, sampe gak nafsu makan",Positif
"kirain aku makhluk terpilih ga bakal kena covid, ternyata kena juga😔",Positif
"kirain kebal, akhirnya tubuh ini give up juga dan berkenalan dengan covid",Positif
"jujur w takut covid. diare, sakit tenggorokan, trs skrg meler ga berenti dan sakit kepala. anj",Positif
"Baca gejala covid varian baru omicron jd parno sendiri. Kebetulan bgt skrg lg sakit kepala, sakit tenggorokan, pilek, demam & sakit badan🙃",Positif
"kena covid lagi ke ni?🥺
demam
sakit kepala
sakit badan
batuk
lidah rase kelat.",Positif
"curiga gue kena covid, udah flu tenggorokan serek mana sakit kepala padahal udah minum obat 2 biji",Positif
"Covid-19 positive day 6 

Batuk 
Sakit kepala 

Sama je",Positif
hampir 4 hari kayanya soalnya covid sakit kepala gabisa duduk,Positif
"perut mual, suhu badan tiba2 naik, ya allah gue takut kena covid lagi

semoga aja ngga, efek kecapean doang inimah. harus positip thinking!!!",Positif
"Walaupun lemes positif copid, tetep harus stand bye coyyyyy https://t.co/aIGQN9YdOD",Positif
Doakan saya satu family sembuh dari covid :'),Positif
"guys, doakan lah aku ni cepat sembuh dari covid, aku macam dah give up dah 😭",Positif
Aku positif covid 😭 doakan aku cepat sembuh ') 😭😭,Positif
"lgi radang boleh makan pedes ga sii:( ini radang grgr kebanyakan minum es teh nusantara apa covid y,, tp tgl 14 terakhir keluar udh swab trs negatif eh tbtb kemarin radang hue",Positif
iya nih lg kena cvd :( aamiin makasih yaa 🥺❤️,Positif
kena covid lagi tahun ni tapi kalini punya teruk... tak pernah sakit sampai macam ni,Positif
"takut kena c word ke 2 kalinya deh
gejalanya mirip sama yg pertama😷",Positif
"sakit tenggorokan, flu, mata gatel

mirip bgt gejalanya😭😭 tapi gue ga kemana manaa masalahnya, cuma anter jemput adek les, sama kemaren beli gorengan. tiap keluar juga selalu cuci tangan:(",Positif
"Ni kalo sampe covid w ternyata varian omicron, cepet bgt nularnya walau tanpa gejala🙂 ya gejalanya dikit si nyaris seperti tidak bergejala…",Positif
"Covid gw kali ya ?!

Gejalanya :

Hidung Pilek
Batuk
Badan panas
Pusing sempoyongan
Kepala nyeri
Perut laper
Sekitar pinggul terasa tepos...",Positif
Soalnya pas kena covid gejalanya cuma sakit tenggorokan kaya gini 😭,Positif
udah degdegan soalnya gejalanya mirip bgt pas covid kemaren...,Positif
kalo beneran kena covid itu gejalanya harus ada gabisa nyium bau sama ngerasa ya? gwlgparno,Positif
Skrg saya positif covid (untuk kedua kalinya ☹️). Sepertinya sih omicron ya karena gejalanya mirip flu tapi lebih terasa berat dan bikin badan lemas. Saya tertular dari teman yg pulang kuliah dari LN (padahal dia sudah karantina). Tetap waspada ya guys 🙏,Positif
"Mataku sakit,tenggorokanku juga sakit bgt, mirip kaya gejala waktu covid kemarin. Masa aku covid lagi sih😩😩",Positif
"Baru dikasih tau my sist kalo covid ada gejala baru, mirip kaya yg w lagi rasain. yaAllah takuddddd, tapi masih bisa ketawa ketiwi 😂",Positif
Day 2. Lengan kiri gue masih sakit. Ini ditambah pusing + demam. Tadi jam 2 an juga gue menggigil,Positif
"ini kok ya kaya ciri2 covid lagi, masa iya gue kena lagiiii? apaansi masih bisa biasa biasa aja gasih nih idup",Positif
Saya sudah merasakan ciri2 orang kena covid tp saya nggak periksa karena saya yakin pasti di vonis covid. Pemeriksaan di sini lucu2. Orang lain di periksa yg ngrawat malah enggak.,Positif
"Ciri2 org pilek corona sama pilek biasa tuh gimana sih? Aku blom ada duit buat tes. Duit cash 20.000 di bank cuma 3000. Jadi, gimana sih ciri2nya, takut kena si covid ini",Positif
"ini hari pertama gua tau bahwa gua positive covid19 dan rasanya ga enak, dari kemarin udah ngerasain gejala aneh dan sorenya langsung test dan ternyata dang! padahal gaya hidup gua selama ini udah sesehat itu dan sudah vaksin juga tapi tetap aja Allah berkata lain",Positif
"Bangun pagi tiba tiba sakit tenggorokan, terus berita covid muncul",Positif
"Covid lg covid lg 😞😞 Kemaren gw baru PCR, akhirnya ngerasain rasanya idung dicolok sampe deket mata wkkwkwk😵😵 sakit😭 air mata sampe keluar",Positif
"Gue positif, lgi isoman udh gk bisa nyium bau apa² doain gk d word beneran kkk",Positif
"Satu satunya yang positif saat ini adalah, gua positif covid :""D",Positif
gua tuh kalo badan udh meriang gini parno banget. terakhir meriang positif covid soalnya😂,Positif
"Akhirnya ada yang positif didiri gua, positif kok covid tur menyendiri lagi ~",Positif
"Day-5, Positive tanpa gejala.
Kalo kata orang rumah “a, yg ngirimin makanan banyak banget setiap hari”.",Positif
"Day 5
so far gak ada gejala berat. Pengaruh vaksin kali ya",Positif
Day 5 baru ada gejala anosmia cok,Positif
"day 5 

• tenggorokan sebelah kananku sakit jika menelan. 
• anosmiaku belum kunjung kembali. 
• pusing dan pening sudah membaik.
• hidung terasa ga nyaman.

aneh bgt, dikasi minum obat malah makin nmbh gejala :(",Positif
"Day 5
Gejala mulai berkurang semua, sisa batuk sama pilek . Yang paling berat indra penciuman dan perasa pergi entah kemana😶",Positif
"Day 5
Demam sepertinya hilang seusai gejala anosmia datang. tp batuk msh stay.",Positif
"Gejala yg gua rasain 
*DAY 1
Tidak mengalami apa-apa, masih normal. Makan masih masuk, masih bisa mondar-mondir gua naik kelantai 2, sampai gua masih bisa YOGA.",Positif
"*DAY 2 
Tahu² ada gejala batuk, pilek, hidung mampet susah napas. Mual, makan sedikit muntah dan berakhir gua pingsan.",Positif
"agak parno skrg kalo badan pegel2. gara2 kmrn baca berita ada yg positif covid tapi gaada gejala batuk pilek, cuma pegel2 aja huhu",Positif
"hari pertama positif covid, biasa aja, flu dikit, badan pegel pegel, seneng krn bisa istirahat, seneng krn bisa libur kerja wkwkwk",Positif
Ternyata saya positif corona lagi https://t.co/DjZi4YFkSH,Positif
Kacau kepala saya mendadak pusing banget dan mendadak panas banget https://t.co/pRWIuHjrHw,Positif
mau isoman aja deh gue inimah beneran positif kalau udah seminggu ga sembuh2,Positif
gue positif...,Positif
Gue valentine malah positif wkwk :(,Positif
alias AAAAAAAH GUE OVT 😭😭😭 gue ga mau positif tapi gue bergejala huhuhu,Positif
Isoman anjir gue positif 😭,Positif
Gue positif tp bukannya demam malah sakit peyut,Positif
"Hari keempat, random ajah antigen. Ternyata gue positif covid, baru ajah minggu lalu gue booster. Hadeh.",Positif
gue positif corona… HAHA hahaha…,Positif
Swab antigen sendirilah dirumah buat makesure aja dan qodarullah nya gue positif wakaka akhirnya batal buat nemenin mamah buka puasa 🥲😅,Positif
"treasure cb, gue positif 😃
doain gue ya para moots biar cepet sembuh😃👍🏻",Positif
NANGIS BGTT GUE POSITIF😭😭 udah gajadi manusia favorite Tuhan 🙂🙏,Positif
"Kan kata gue juga apa, positif😔🙏 https://t.co/SjQ7Y5aylz",Positif
"D-1 gue terkonfirmasi positif si COVID 😤
Semoga lekas membaik diriku 🥰 https://t.co/eGKnI3r8OB",Positif
oke jadi...gue abis test rapid di kampus........ hasil gue positif *mrenung*,Positif
VALENTINE-VALENTINE GINI GUE BARU KEDETEKSI POSITIF COVID 🙂,Positif
"sehati sejiwa banget ga tuh bias positif, gue juga 😭",Positif
antigen gue semalem positif semoga ini pcr yang lebih akurat negatif dah.😔,Positif
Huwaaa aduh gue positif astaghfirulloh ya allah selamatkan aku ya Allah. Bismillah tobatttt,Positif
bisabisanya gue positif covid-19 dua kali https://t.co/JiZhQ0GarA,Positif
"Baru + covid kmrn minggu. Hari itu pula gue disuruh baca perihal setelah covid dan isoman 10 hari ga perlu pcr. Bahkan org2 yg komen pun menyalahkan perusahaan yg makan duit lah, atau apa lah. Yg bercerita dia pcr 5x ttp positif dan dia merasa di bodohi lah akan hal itu",Positif
"temen gue nyuruh hati2 omicron pas gue udah positif, gue kudu hati2 gmn lagi org gue udah wfh semingguan kaga keluar2, gatau juga dapet darimana ni positif...gue udah ngikutin segala prokes tp dibilang ga hati2 gue kesel sendiri",Positif
"Emang ini ganas bgt... Gue juga 3 hari ini gejalanya kyk omicron tpi blm swab, kalo swab kyknya positif dah ntar aja deh swabnya skrg mah isoman dulu 😭😭😭😭",Positif
yeayy gw positif 🖕😅🖕,Positif
huhuhuhuhu gw positif😩😩😩 valentine an malah positif,Positif
"langsung pcr aja nder, gw juga tgl 12 kemarin udh makin sakit tenggorokkan dan pusing, langsung pcr dan tgl 13 keluar hasil ternyata positif",Positif
corona positifnya selain gw beneran positif corona tabungan gw banyak (ga bsa kmana mana),Positif
gw positif covid 😃😃😃,Positif
gw positif HEIJEUSJDUDUDHD GWS🙏🏻 https://t.co/gGp8cWBbUK,Positif
gw seminggu libur karna positif tugasnya segunung FCKKK GAUSAH LU TITAP TITIP INJ BUMAN PENITIPAN HELM,Positif
"asuuu, ggr sekolah gw asrama n nekad ptm tp protokol g diperketat, pas di swab gw jd positif",Positif
Gw positif pren 🥺...,Positif
ANJIR KET SMOGA CEPET2 NEGATIF jgn kemana2 duluuu gw jg ni seminggu ini msh positif 💔💔 semangat kita,Positif
"Teman angkatan pada positif hamil
Lah gw positif omicron 😑😑",Positif
"Alhamdulillah gw positif covid, skr ada yg bisa mijitin nyokap gw..
Kesian doi udah seminggu covid, badannya sakit2 dan pengen dipijitin, tapi takut nular ke yg mijitin.

Gw balik swab, hasil gw positif, nyampe rumah nyokap gw langsung mau dipiljitin gw 😂😂😂

Covid bestie 🥰 https://t.co/nUynqj8xnL",Positif
"Lu pada yg positif covid kasi tau gw gejala kalian dong!! Tiba2 gw demam sampe menggigil ajg, pala gw berasa lunak kyk ditusuk2, idung gw mampet, tenggorokan gw kering. Jari jari tangan gw berasa matirasa awkward banget digerakin. Kalian ada yg gejalanya sama ga? 
#gejala #COVID",Positif
"Kaga jadi, udah keduluan hasil PCR gw positif😌",Positif
"jadi manusia sehat deh gw selama karantina. Bangun jam 6, olahraga pagi, makan 3x sehari, tidur sebelum jam 12. Hikmah positif covid😀😩",Positif
"Bisa2nya pas gw lg sakit parah hmpir pingsan kaga positip, tp giliran tinggal batuk malah positif",Positif
eh sori aje nih grgr lu maksain hybrid kmrn gw positif copid 😡,Positif
"Hasil tes gw positif di lab terafiliasi kemenkes, sampe 10 hari isoman tetap ga terdaftar juga.",Positif
"Gw mau share aja pengalaman gw waktu hasil PCR gw positif. Lumayan panjang, karena hasil PCR gw baru negatif di hari ke-27 :)

Hari pertama. Hasil PCR gw positif. Deg. Kekhawatiran itu terjawab. Tenggorokan gatal yang dirasakan dari sehari sebelumnya sudah jelas penyebabnya apa.",Positif
ada yg positif covid tp ga ada gejala sama sekali? yg salah alatnya apa beneran positif sih 😭 bingung bgt gw,Positif
g sih gw kan masih positif 🙆🏻‍♂️,Positif
Oke jadi gw beneran positif,Positif
Haha gw positif cororong...,Positif
Gw aja kemaren positif wktu tgl 1 feb langsung RS isomanya 10hari sakit batuk & demam terus setelah sehat  langsung  coba lagi tes swab anti gen hasilnya negatif juga udh alhamdulillah akhirnya kembali pulihan sehat...cuman sakit itu batuk seperti biasaa karena lagi musim huhuhu,Positif
Gw positif dong 😭👍🏻,Positif
"positif lagiii ascjwijxoskskwbcuwnxoejod😥😪

mungkin ic pgn lbh lama lagi sama gw ya",Positif
"gw juga baru positif nihh Ndah
😔",Positif
Sebenernya gw gejala dari hari Selasa nah gw baru swab antigen nya hari Kamis ketauan positif,Positif
"Kecolongan gw ini mah beneran ky flu biasa sih anjir pas d antigen positif ahhhhh semangat cel, semangat kitaaa 🥲🥲",Positif
"SAMA CEL sampe sarakit badan ga? Gw sampe sakit badan wkwkwkw trs tenggorokan sakit bgt, ini kudu PCR lg ga si 🥲",Positif
positif yg kedua ini gw jadi chill engga sepanik kaya tahun kemarin. ya mau gimana lagi sakit jg dtgnya dri tuhan.,Positif
"Padahal gw yg positif ga keluar2 rumah samsek
Di dlm kamar aja, keluar paling berjemur itupun di balkon atas kaga di depan rumah 😌",Positif
"gw awalny demam 2hari & bdn pegel"". trus bbrp hari stlh tes positif baru mulai ilang penciuman",Positif
Kalo gak positif udah di Bali kali gw.,Positif
Yaaa mohon maaf sekarang gw pun sekeluarga positif dan lagi isoman sih 😅😅 . Jadi ya gw ngomong sesuai dgn apa yang gw alami dan lakukan.,Positif
